name,file,directory,prefix.label,module
coreCTL.subset,corCTLgenes_subset.csv,Gene_Sets/,,F
coreCTL,corCTLgenes.csv,Gene_Sets/,,F
coreCTL.sensitizer,corCTLgenes_sensitizer.csv,Gene_Sets/,,F
coreCTL.suppressor,corCTLgenes_suppressor.csv,Gene_Sets/,,F
zhang.renca,VALID_Module4_Zhang2019_Hs_cellmarkers_SYMBOLS_forRenca_160320.csv,Reference_Datasets/,,T
panglao.renca,VALID_Panglao_referenceSets_Mm_SYMBOLS_forRenca_160320.csv,Reference_Datasets/,,T
coreCTL.grouped,coreCTL_grouped_CR_160320.csv,Gene_Sets/,,T
bulkRNA.cytokine,Renca_B16_MC38_TNFa_IFN_DEG_180320.csv,Gene_Sets/,,T
muscle.signature,VALID_pangleo_zhang_MCA_SYMBOL_forMuscle_180320.csv,Reference_Datasets/,,T
coreCTL.subtypes,coreCTL_suppressor_sensitizer_subtypes_180320.csv,Gene_Sets/,,T
autophagy,autophagy_geneSet_NM_190320.csv,Gene_Sets/,,T
wgcna.first,wgcna_firstpass_300320.csv,Gene_Sets/,,T
immune.TF,VALID_TRRUSTv2_Mm_regulation_immuneSubset_090420.csv,Reference_Datasets/,,T
p7.mesoMarker,p7_mesoMarkers_250620.csv,Gene_Sets/,,F
p7.mesoMarker.HH,HHtestMeso_200716.csv,Gene_Sets/,,F
