Neftel.all,GL261.CT2A.specific,GBM.HH.query,HH.neural.dif.short,HH.neural.dif.long
HILPDA,Vim,Sox2,Slc2a1,Cd34
ADM,Hmga2,Ptp4a2,Rbpms,Cacnb2
DDIT3,Ppfibp1,Cd274,Gpbp1l1,Samd4
NDRG1,Sparc,Prom1,Iqgap1,Pdlim2
HERPUD1,mt-Cytb,Gpnmb,Fbxo15,Prtn3
DNAJB9,AI506816,Idh1,Flnb,AA415398
TRIB3,Epb41l2,Nes,Etl4,Eya1
ENO2,Cald1,Denn2b,Slc38a4,Sprr2b
AKAP12,Eef2,Dcx,Ncl,Adamts14
SQSTM1,Rack1,Olig2,Nr6a1,Ccdc40
MT1X,Lgals1,Pecam1,Dlc1,9030625A04Rik
ATF3,Stard13,Mki67,Tcf7l1,Fam46c
NAMPT,mt-Nd1,Egfr,Myh9,Kcnk12
NRN1,Lmna,Ptprc,Ctnna1,Zbtb16
SLC2A1,Anxa2,Cd3d,Krt18,Tlr2
BNIP3,Axl,Cd4,Chd7,Tmc8
LGALS3,Pabpc1,Cd8a,Nxn,Ccdc90a
INSIG2,Myh9,Itgam,Stra8,Klb
IGFBP3,Tm4sf1,Krt18,Stra8,Slc22a7
PPP1R15A,mt-Nd5,Krt8,Gpc3,H2-Q6
VIM,Ctnna1,Birc5,Nxn,Rnf135
PLOD2,Ahnak,Tpx2,Stra8,Gpr123
GBE1,Flna,Cd24a,Plekhg1,A830092H15Rik
SLC2A3,mt-Nd2,Cd44,Mbnl3,Jakmip3
FTL,Ncl,Fabp7,Krt19,Cnn1
WARS,mt-Nd4,Hopx,Tgm2,Itpripl1
ERO1L,P4hb,Ubb,Krt8,Spink10
XPOT,Eif3a,Rpl36a,Lgals9,Spry3
HSPA5,Rpl4,Rpl5,Stra8,2210411K11Rik
GDF15,Eps8,Psmb8,Mdk,Pkp3
ANXA2,B2m,Psmb9,Stra8,1700030C10Rik
EPAS1,Rps3,Robo1,Gpc6,Masp1
LDHA,Rps5,Slit2,Pbx1,Arhgap6
P4HA1,Tubb5,Epha2,Epha3,Prss8
SERTAD1,Dock1,Epha3,Pbx1,Foxb1
PFKP,Anxa1,Prom1,Rarb,Lrrc7
