"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"somclid_prkm"
"ENSMUSG00000016494_Cd34"	4.16	2.16	0.63	0.32	0.51	0.35	0.12	0.14	1
"ENSMUSG00000057914_Cacnb2"	0.245	0.58	0.97	0.565	1.57	2.845	4.33	4.835	10
"ENSMUSG00000021838_Samd4"	0.465	0.35	0.81	2.38	1.475	4.92	4	4.315	10
"ENSMUSG00000022090_Pdlim2"	4.51	2.15	0.33	0.36	0.565	0.39	0.27	1.305	1
"ENSMUSG00000057729_Prtn3"	0.46	0.08	2.74	4.005	4.995	4.29	3.825	3.29	7
"ENSMUSG00000062260_AA415398"	0.175	0.31	0.47	0.885	3.73	4.205	4.295	5.02	9
"ENSMUSG00000025932_Eya1"	0.385	1.11	4.29	4.93	2.455	2.135	2.1	1.945	6
"ENSMUSG00000050092_Sprr2b"	0.06	0.02	5.03	0.325	0	0	0	0	5
"ENSMUSG00000059901_Adamts14"	4.315	2.97	0.27	0.35	0.2	0.165	0.06	0.095	1
"ENSMUSG00000039963_Ccdc40"	4.44	1.51	1.97	3.765	1.83	0.515	0.29	0.185	3
"ENSMUSG00000044350_9030625A04Rik"	4.18	1.95	5.04	3.02	0.595	0.435	0.43	0.515	4
"ENSMUSG00000044468_Fam46c"	0.57	0.68	5.04	4.02	0.675	0.24	0.115	0.1	5
"ENSMUSG00000050138_Kcnk12"	0.195	0.11	5.05	2.35	1.765	2.885	3.57	3.455	6
"ENSMUSG00000066687_Zbtb16"	0.125	0.88	3.72	2.475	1.92	2.555	3.155	4.94	10
"ENSMUSG00000027995_Tlr2"	1.925	2.27	5.06	1.82	0.465	0.18	0.17	0.195	4
"ENSMUSG00000050106_Tmc8"	4.92	3.96	0.44	0.32	0.14	0.02	0.025	0.025	1
"ENSMUSG00000021371_Ccdc90a"	3.115	2.28	5.07	2.64	1.375	1	0.6	0.415	4
"ENSMUSG00000029195_Klb"	0.34	2.19	5.07	2.755	0.785	0.38	0.205	0.175	4
"ENSMUSG00000067144_Slc22a7"	4.8	2.23	0.04	0.035	0.065	0.05	0.055	0.055	1
"ENSMUSG00000073409_H2-Q6"	4.895	2.39	0.48	0.11	0.125	0.13	0.025	0.05	1
"ENSMUSG00000020707_Rnf135"	4.125	4.34	1.22	0.39	0.565	0.26	0.21	0.205	1
"ENSMUSG00000025475_Gpr123"	0	0.01	0.04	0.18	1.375	3.425	3.82	5.005	10
"ENSMUSG00000074664_A830092H15Rik"	0.02	0	0.66	1.65	2.94	4.905	4.945	4.27	9
"ENSMUSG00000056856_Jakmip3"	0.005	0	0.03	0.03	2.23	5.07	4.865	4.465	10
"ENSMUSG00000001349_Cnn1"	4.66	0.85	0.18	0.41	0.29	0.295	0.19	0.24	1
"ENSMUSG00000074825_Itpripl1"	4.985	4.26	3.88	1.65	1.215	0.385	0.215	0.275	3
"ENSMUSG00000044176_Spink10"	0.17	0	0.27	1.305	2.9	5.005	4.89	3.78	9
"ENSMUSG00000061654_Spry3"	0.11	0.26	3.16	5.11	2.22	4.455	4.63	4.4	7
"ENSMUSG00000030431_2210411K11Rik"	4.465	1.47	0.37	0.24	0.65	0.195	0.2	0.195	1
"ENSMUSG00000054065_Pkp3"	5.05	2.79	0.37	0.36	0.115	0.03	0.015	0.03	1
"ENSMUSG00000091071_1700030C10Rik"	4.145	5.13	0.94	0.695	0.385	0.065	0.075	0.05	1
"ENSMUSG00000022887_Masp1"	0.02	0.11	1.16	3.405	2.155	3.315	4.845	5.09	10
"ENSMUSG00000031355_Arhgap6"	0.855	0.23	5.14	3.22	2.615	2.29	1.675	3.4	6
"ENSMUSG00000030800_Prss8"	4.975	4.48	2.22	1.065	0.865	0.28	0.085	0.12	2
"ENSMUSG00000059246_Foxb1"	0.005	0.08	5.16	0.635	0.73	0.095	0.03	0.045	5
"ENSMUSG00000028176_Lrrc7"	0.005	0.01	0.51	0.45	3.09	4.81	4.965	4.56	9
"ENSMUSG00000040584_Abcb1a"	4.92	4.6	0.45	0.26	0.13	0.025	0.02	0.02	1
"ENSMUSG00000053129_Gsx1"	0.36	0.47	1.82	4.75	0.34	0.005	0.01	0.01	5
"ENSMUSG00000064247_Plcxd1"	2.26	1.5	0.12	0.06	0.675	2.87	3.95	4.905	10
"ENSMUSG00000027335_Adra1d"	0.035	0.02	0.03	0.22	0.4	2.17	4.56	4.95	10
"ENSMUSG00000027954_Efna1"	4.69	2.91	3.28	2.07	0.41	0.155	0.085	0.11	3
"ENSMUSG00000060703_Cd302"	4.395	5.19	4.5	3.89	0.56	1.61	1.34	1.245	3
"ENSMUSG00000029561_Oasl2"	5	1.11	0.17	0.08	0.14	0.3	0.11	0.23	1
"ENSMUSG00000061082_Plac1"	0.21	1.38	5.2	2.355	0.57	0.03	0.01	0	5
"ENSMUSG00000025328_Padi3"	4.405	1.8	0.07	0.005	0.055	0.045	0.025	0.02	1
"ENSMUSG00000027071_P2rx3"	0.415	0.44	3.13	4.865	1.565	1.315	2.18	2.39	6
